Model,Num_Features,Features,Train_Accuracy,Test_Accuracy,Test_AUC,CV_Mean,CV_Std
Logistic Regression,1,X3,0.55,0.6923076923076923,0.6904761904761906,0.55,0.09486832980505137
Random Forest,1,X3,0.56,0.6538461538461539,0.6845238095238095,0.47000000000000003,0.050990195135927854
Gradient Boosting,1,X3,0.56,0.5384615384615384,0.6845238095238095,0.49000000000000005,0.048989794855663564
XGBoost,1,X3,0.55,0.6923076923076923,0.6845238095238095,0.47000000000000003,0.050990195135927854
Logistic Regression,2,"X3, X1",0.61,0.6923076923076923,0.8273809523809523,0.6,0.1140175425099138
Random Forest,2,"X3, X1",0.72,0.6153846153846154,0.7797619047619048,0.56,0.05830951894845301
Gradient Boosting,2,"X3, X1",0.72,0.6153846153846154,0.7678571428571428,0.6,0.07071067811865474
XGBoost,2,"X3, X1",0.71,0.6538461538461539,0.7559523809523809,0.54,0.03741657386773941
Logistic Regression,3,"X3, X1, X2",0.59,0.6153846153846154,0.7380952380952381,0.6,0.09999999999999999
Random Forest,3,"X3, X1, X2",0.76,0.6153846153846154,0.6309523809523809,0.57,0.024494897427831747
Gradient Boosting,3,"X3, X1, X2",0.76,0.7307692307692307,0.6845238095238095,0.5900000000000001,0.04898979485566354
XGBoost,3,"X3, X1, X2",0.74,0.6153846153846154,0.5952380952380952,0.6,0.031622776601683784
Logistic Regression,4,"X3, X1, X2, X5",0.61,0.6538461538461539,0.7470238095238095,0.5700000000000001,0.11224972160321822
Random Forest,4,"X3, X1, X2, X5",0.89,0.5,0.6220238095238095,0.58,0.07483314773547883
Gradient Boosting,4,"X3, X1, X2, X5",0.87,0.5384615384615384,0.6160714285714286,0.59,0.037416573867739396
XGBoost,4,"X3, X1, X2, X5",0.87,0.5769230769230769,0.6279761904761905,0.5700000000000001,0.05099019513592785
Logistic Regression,5,"X3, X1, X2, X5, X4",0.61,0.6538461538461539,0.7440476190476191,0.5599999999999999,0.11575836902790225
Random Forest,5,"X3, X1, X2, X5, X4",0.92,0.6153846153846154,0.6607142857142857,0.62,0.14696938456699069
Gradient Boosting,5,"X3, X1, X2, X5, X4",0.89,0.5769230769230769,0.5595238095238095,0.5700000000000001,0.06782329983125268
XGBoost,5,"X3, X1, X2, X5, X4",0.91,0.5384615384615384,0.6309523809523809,0.54,0.08
Logistic Regression,6,"X3, X1, X2, X5, X4, X6",0.6,0.6538461538461539,0.7440476190476191,0.5800000000000001,0.12083045973594572
Random Forest,6,"X3, X1, X2, X5, X4, X6",0.96,0.6153846153846154,0.6577380952380952,0.57,0.09797958971132709
Gradient Boosting,6,"X3, X1, X2, X5, X4, X6",0.91,0.5,0.6011904761904762,0.57,0.06782329983125268
XGBoost,6,"X3, X1, X2, X5, X4, X6",0.93,0.5384615384615384,0.6071428571428571,0.54,0.058309518948453015
